number_of_rooms,lot_size,house_size,number_of_bathrooms,size_of_the_yard,distance_to_santa_monica,distance_to_malibu,distance_to_closest_freeway_entrance,distance_to_shopping_center,distance_to_the_beach,solar_pannel,number_of_parking_spot,gated,HOA,school_district,price
2,1813,1133,2,1117,2,23.54,1.24,0.82,0.35,0,2,0,0,7.45,250000
3,2702,1759,1.9,1233,1.1,15.61,1.74,1.39,0.78,0,4,0,0,7.71,885565
10,10531,4293,5.2,6377,15.6,4.23,12.77,4.6,0.74,0,6,0,1,7.48,6260597
4,7497,1884,2.7,5762,1.54,21.02,1.26,1.48,4.09,0,3,0,0,7.65,250000
10,35861,4136,6.1,31502,13.82,1.02,7.4,3.04,1.91,1,6,0,0,8.12,6500576
10,6592,6363,5.7,1011,16.34,0.58,12.48,7.02,1.23,0,6,1,1,7.86,8948488
4,2581,2317,1.8,1633,3.61,16.56,0.88,1.89,2.5,1,4,0,1,7.24,671831
5,7081,2451,2.7,4130,1.17,16.04,0.66,0.71,3.36,1,4,0,0,7.7,871475
5,3988,2525,2.5,2097,2.44,22.72,1.05,1.5,0.11,0,5,0,1,7.69,2248327
4,44266,1750,2.7,42473,12.56,1.85,11.28,2.12,1.07,1,3,0,0,7.6,2756434
10,43417,6259,4.9,38453,17.86,0.62,13.74,0.92,1.9,0,6,1,1,8.33,10464712
5,6881,2239,2.9,4367,2.18,23.44,1.79,0.87,0.11,0,3,0,0,7.85,1913218
5,5099,2804,3.5,2748,1.13,19.69,2.4,1.28,0.82,0,4,1,0,7.97,2539341
7,1969,2788,3.3,26,0.76,21.56,0.93,0.37,1.76,1,6,0,0,7.7,2522671
6,8664,2626,3.1,5800,3.45,21.84,1.54,1.9,1.96,0,4,0,1,7.55,1358651
3,3652,1291,1.3,2164,0.36,22.88,2.49,0.33,0.19,0,2,0,1,7.38,429163
4,58355,2372,2.9,56504,15.57,5.35,4.91,3.94,1.21,0,4,1,0,7.89,3942551
2,1916,1294,2.8,364,1.46,20.44,0.75,1.04,0.41,0,2,0,1,7.94,250000
4,20192,1653,2.2,19236,12.03,3.64,6.41,1.25,0.44,0,4,0,0,7.43,2037727
5,6911,2384,4,4630,2.3,18.65,1.55,0.59,3.57,0,2,0,0,7.61,740921
10,18725,6637,6.5,11671,27.28,9.6,12.38,3.42,0.24,0,6,0,0,8.54,9512880
6,8432,2633,3.4,6616,3.52,15.78,1.57,1.42,1.6,1,3,0,0,7.71,1420549
7,3942,2547,4.6,1061,0.36,15.25,0.4,0.71,1.51,0,5,0,0,7.64,2509717
2,3326,1386,2.5,2690,0.74,13.14,1.06,0.15,0.42,0,3,1,0,7.76,594662
5,2697,2283,3.5,727,1.81,15.8,1.49,1.07,0.82,0,3,0,1,7.68,1916656
4,3019,2125,2.7,363,0.37,18.59,0.3,0.55,0.47,0,3,0,1,7.86,1628115
9,56323,4271,5,52981,16.89,4.7,5.87,5.38,1.05,0,6,1,0,7.8,8138266
6,2544,2283,3.7,1260,1.89,17.91,1.74,0.53,2.09,1,3,0,0,7.88,753441
6,3404,2463,3.7,1490,1.46,17.24,1.49,0.38,0.83,0,3,0,1,7.68,2265099
4,3783,1719,3.5,2017,0.99,15.82,1.67,0.33,1.54,0,3,0,0,7.81,941805
10,40260,5679,4.7,35382,13.34,1.78,11.33,3.91,0.95,0,6,0,0,8.21,8759719
4,2718,2162,1.7,351,1.25,12.55,0.32,1.48,1.22,0,3,1,0,7.69,1481397
10,53466,5626,6.1,48032,26.94,2.36,12.36,5.77,1.75,0,6,0,1,8.12,8161299
4,6792,1671,2.9,5475,1.97,22.26,1.26,0.63,1.37,0,3,0,1,7.74,903965
3,8275,1447,1.8,7353,2.26,23.99,0.23,0.4,4.47,0,3,0,1,7.38,250000
4,4899,1476,2.7,3176,0.9,17.66,0.36,0.23,1.27,0,3,1,0,7.54,777539
3,6252,1285,2,4610,0.74,17.35,1.87,0.63,1.68,0,3,0,0,7.85,250000
5,4882,2038,3.2,2611,2.37,20.97,1.91,0.16,1.03,0,3,0,0,7.73,1497961
6,50881,2979,2.8,47855,20.76,1.02,13.15,3.71,0.85,1,3,1,0,8.18,4753214
4,6424,1404,1.8,4881,1.73,18.99,1.52,1.3,0.27,1,3,0,0,7.59,654982
5,2634,1927,3.2,864,2.8,20.67,0.85,0.97,1.79,0,3,1,0,8.09,250000
7,4306,3128,3.4,345,1.71,13.84,0.59,0.39,1.4,0,4,0,0,7.78,2897386
3,2325,1385,2.7,1063,2.13,22.2,0.57,0.96,2.95,0,2,0,0,7.14,250000
9,38516,3942,5,35173,18.53,5.07,4.4,7.23,2,1,5,1,1,8.46,5616314
5,5687,2237,4.4,3409,2.94,20.69,1.23,1.3,3.52,0,5,0,0,7.67,590626
4,3849,1364,2.8,1751,0.27,21.27,0.85,0.95,1.27,1,2,1,0,7.34,632294
7,30469,3165,3.5,27597,27.06,8.53,12.44,4.49,1.6,0,6,1,0,7.81,4362707
5,21753,2668,3.2,18565,14.07,9.47,11.12,6.14,1.05,1,4,1,0,8,3277249
2,2785,1386,2.3,1278,1.44,21.44,0.99,0.22,0.89,0,3,0,0,7.46,386649
5,50705,2316,2.9,48188,25.94,2.87,4.81,5.53,1.34,0,4,0,0,7.57,3450176
6,4431,3133,3.7,2340,1.55,19.58,0.22,1.07,1.2,0,5,0,1,7.95,1890862
7,56635,3671,3.7,52906,21.1,7.95,10.97,7.97,0.13,1,5,0,1,7.72,6387402
7,5070,2653,4.1,2546,2.2,22.23,2.42,0.91,1.64,0,3,0,0,7.55,2362795
4,3929,1673,3,1705,2.47,21.83,0.39,0.52,1.87,0,3,0,0,7.13,250000
7,5376,3184,4.3,1609,1.05,19.49,2.42,1.26,0.89,0,5,0,0,7.76,3430428
2,3195,1363,2.2,1410,2.75,25.82,0.35,0.71,4.04,0,2,1,0,7.82,250000
4,5014,1958,2.4,3906,1.98,15.71,1.71,1.34,0.78,1,2,0,0,7.55,1375535
6,6579,2441,3.6,5297,0.13,14.46,1.8,1.17,1.53,0,4,0,1,7.65,2210918
10,39404,6094,5.3,34039,20.25,3.89,13.22,1.06,1.73,1,6,0,1,8.27,9802667
6,30129,2370,4.3,28392,12.76,2.62,5.43,4.82,0.45,0,3,1,1,8.02,3392651
10,29185,6225,4.3,23353,14.41,2.93,4.93,2.32,0.55,0,6,1,0,8.48,8651384
10,7889,5708,4.8,2935,23.56,9.65,13.31,6.29,1.09,1,6,0,1,8.08,7561878
6,19959,2994,3.9,17735,27.36,3.92,4.1,2.84,0.33,0,4,1,0,8.28,3695307
6,2265,2400,3.7,519,1.27,21.48,2.32,0.64,1.11,0,3,0,1,7.79,1957630
3,3624,1399,1.9,2381,1.51,16.18,1.75,0.12,0.21,0,3,0,1,7.52,603432
2,3117,1068,2.7,2601,1.46,21.52,0.32,0.54,2.18,0,3,0,0,7.45,250000
10,47606,6809,5.2,41592,20.23,4.84,11.55,7.14,1.93,0,6,0,1,8.29,9936539
4,3021,1848,2.1,932,2.69,16.25,1.48,1.95,1.75,0,4,0,1,7.36,250000
10,43509,5427,6,39125,21,9.75,10.89,7.24,1.43,0,6,0,0,8.15,8821276
3,4619,1550,3.1,2561,0.88,16.22,0.44,1.48,0.15,0,4,0,1,7.74,850978
4,1950,1854,2.6,0,1.14,17.61,1.85,0.53,0.64,1,4,0,0,8.14,1039644
4,4165,1366,3.1,3067,1.47,21.67,1.6,0.94,1.59,1,3,0,0,7.64,250000
4,4381,1987,3.2,2216,0.85,22.44,0.67,0.59,1.42,0,3,0,0,7.6,1321223
6,5147,2193,3.7,3398,3.91,17.55,1.2,0.96,1.21,1,3,0,0,7.76,856482
10,49916,4999,6,45179,19.33,8.67,13.26,0.97,0.2,0,6,1,1,8.41,7296427
5,5868,2346,3.2,3710,1.03,14.02,0.36,0.38,3.47,0,4,0,1,7.91,698956
6,2009,2632,3.9,0,1.12,23.95,0.51,1.3,0.92,1,4,0,0,8.02,2187522
4,7839,2897,2.8,5002,1.63,25.39,0.3,1.82,2.07,0,3,0,0,8.03,1192152
6,8274,2655,3.9,6282,3.07,22.01,0.92,1.44,1.24,0,3,0,0,7.9,1371035
10,6242,4207,5.3,2302,23.28,1.72,10.5,1.41,0.44,0,5,0,0,8.31,5255217
6,5835,2554,3.6,3646,0.4,12.59,2.23,0.21,0.35,1,4,0,0,7.63,2530852
2,2488,1162,1,945,0.68,15.68,2.42,0.91,1.78,0,2,1,1,7.44,250000
5,2471,1950,3.1,1026,0.75,16.22,0.51,0.7,1.77,1,4,0,0,7.72,1283660
10,34252,6576,5.8,27935,25.2,8.47,10.73,2.99,0.17,1,6,1,1,8.17,10872766
6,1844,2817,3.6,0,0.31,19.57,1.41,0.84,1.68,0,5,0,1,7.7,2636825
6,7639,2587,4,4970,1.67,21.36,1.21,1.52,3.17,0,4,0,0,7.66,1077927
8,6978,2964,4.2,3672,0.15,22.3,2.32,0.59,1.32,0,3,0,1,7.57,2924088
9,32818,4448,4.3,28713,27.3,8.89,5.69,4.21,1.95,1,6,1,1,7.94,6729520
3,6924,1683,2.9,5839,0.85,22.87,1.59,0.4,1.61,1,3,0,0,7.65,875351
3,3942,1069,2.6,2595,1.07,12.48,2.14,0.39,0.66,0,3,0,0,7.92,250000
10,8687,4335,5.6,4587,12.53,4.79,12.85,3.4,1.87,0,6,0,0,7.26,5921490
10,29421,5800,4.9,24108,27.07,8.79,6.09,4.37,0.76,0,6,1,0,8.62,8328366
3,4980,1451,1.5,3859,2.18,15.93,1.02,0.94,0.41,0,1,0,1,7.51,603872
6,51942,2839,3.8,50030,18.51,5.09,9.33,5.55,0.18,0,4,0,1,7.88,4853875
6,2756,3065,3.7,0,1.38,22.23,1.05,0.57,1.78,0,3,0,0,7.65,2867066
10,15762,4710,5.5,11285,13.44,7.39,13.95,6.7,1.16,0,6,0,1,8.09,6787218
6,5695,2843,3.9,3789,2.17,24.1,1.28,1.46,2.88,0,4,1,0,8.02,1297031
5,5710,1865,2.8,3422,1.83,21.87,0.39,1.78,3.73,0,3,0,0,7.64,250000
10,46929,4860,5.6,41470,24.59,3.48,12.81,5.23,1.66,1,6,0,1,8.24,8066356
6,6918,2836,3.1,3773,1.99,15.96,1.48,0.29,1.02,0,5,1,0,7.83,2813503
6,2765,2660,3.6,136,1.07,22.47,1.45,0.13,1.32,1,3,1,0,7.82,2406220
7,41505,2479,4.8,39280,16.84,1.49,7.83,2.27,1.32,0,4,0,0,7.71,3930416
4,4663,1607,2,3085,1.38,13.61,2.35,1.35,0.42,0,2,1,1,7.95,977799
10,56351,6828,6,50314,14.01,1.77,10.77,4.7,0.14,1,6,0,0,8.02,10149055
8,2918,3578,5.4,447,1.73,16.38,1.04,1.17,2.54,0,5,0,1,7.79,2425450
10,25070,3969,4,21753,27.7,2.15,4.65,6.99,1.75,0,6,0,0,7.6,6068479
9,45950,4414,5.4,41724,13.4,9.28,8.56,3.42,1.3,0,6,0,1,7.99,6920608
4,6106,2446,3.9,2874,2.43,15.06,1.37,0.8,0.51,0,3,0,0,7.62,2071341
7,4440,2493,3.8,1219,1.61,21.65,1.29,0.83,1.48,1,3,0,0,7.6,2110258
6,4813,2736,4.1,1971,1.99,16.37,2.48,0.93,0.78,0,4,1,0,8.1,2706118
9,21366,4623,4.9,16551,13.97,6.96,11.32,1.11,1.38,0,6,0,1,8.09,7181558
6,6641,2478,3.6,4024,0.18,21.83,0.74,0.91,0.89,1,4,1,1,7.72,2393799
4,10076,1784,2.3,8366,20.6,1.77,4.08,3.85,0.36,0,4,0,0,7.76,1491751
5,6314,2020,3.4,4531,1.35,23.37,0.78,1.52,2.8,0,4,0,1,7.39,501071
4,2461,2056,3.3,565,1.45,16.05,0.46,1.42,1.41,0,4,0,0,7.66,1326142
4,4244,2486,3.6,2795,1.45,23.41,0.73,1.26,3.5,1,4,0,0,7.55,793296
6,3939,2287,4.8,2206,2.5,17.92,0.76,0.33,0.17,1,3,0,0,7.71,2231046
10,47527,5139,6.1,42343,25.68,9.4,9.8,2.51,0.86,0,6,1,1,8.08,7996052
3,5627,1528,2.9,3797,1.2,16.06,1.78,1.04,4.04,0,3,0,1,7.5,250000
5,6382,1600,3.5,4661,1.67,17.85,1.11,1,1.71,1,1,0,0,7.88,830781
5,3175,2158,3.7,923,2.07,19.95,1.59,1.6,1.29,1,4,0,0,7.66,706095
2,5398,967,1.9,4548,1.58,13.69,2.38,1.41,0.48,0,3,0,0,7.92,250000
2,4809,1310,1.6,3304,1.73,15.2,1.49,0.44,3.08,0,4,0,0,7.61,250000
5,2382,2211,2.9,0,1.17,16.24,1.1,1.76,4.09,1,4,0,1,7.66,389869
10,9088,4743,4.8,5391,21.1,0.55,9.14,5.19,0.46,0,6,0,1,7.97,6589737
4,3223,1519,3.2,2249,2.07,20.53,2.46,1.1,0.81,1,3,0,0,7.42,816446
4,3952,1867,2.1,1994,2.32,20.35,0.92,1.09,2.05,0,3,0,0,7.63,250000
5,3306,2105,1.9,1543,0.29,13.41,0.69,1.18,0.97,1,2,0,0,7.54,1501019
7,6054,3000,3.5,4007,0.59,18.52,1.7,0.83,0.84,1,4,0,0,7.83,3089035
9,9140,4348,4.6,5452,20.63,8.63,4.98,2.53,0.87,1,5,0,0,7.54,5687253
3,5183,1045,2.1,4645,3.98,20.52,0.96,1.92,1.55,0,2,0,0,7.67,250000
6,8480,3036,4.9,5046,1.54,23.6,1.23,1.4,3.91,0,5,0,0,7.35,1740759
10,26260,4122,4.3,22983,18.51,6.58,7.56,7.74,1.88,1,6,1,1,8.25,5695830
4,6901,1847,2.9,4950,3.36,24.8,0.55,1.33,2.37,1,2,0,0,7.43,250000
6,2691,2828,3.9,1164,0.15,14.8,1.97,0.92,1.43,0,5,1,0,8.25,2618586
3,7876,1086,2.6,7517,1.81,19.64,0.32,1.47,2.38,0,1,0,0,7.96,250000
10,26592,5685,5.5,20857,21.56,9.28,7.98,3.1,1.79,0,6,1,0,8.27,8117748
10,44898,6048,5.7,39075,15.21,8.91,7.22,0.9,1.7,0,6,1,0,8.18,10061676
9,55695,3794,4.9,52702,17.84,8.06,9.29,5.73,1.28,0,5,0,0,7.96,6853648
10,22598,5275,4.9,18201,24.05,1.68,8.01,4.28,0.78,1,6,0,1,8.25,7053783
10,38157,5458,4.9,32746,19.13,0.79,11.98,1.05,1.43,0,6,0,0,7.69,8208301
8,3818,3571,5.6,809,2.5,16.33,0.96,1.76,1.08,0,5,0,1,8.03,2592314
7,7238,3175,4,4682,1.16,23.31,1.18,0.33,2.78,0,5,0,0,8.04,1819863
5,7743,3219,3.9,5456,1.23,18.12,1.3,1.1,1.67,0,4,0,0,7.6,2111493
10,41791,6128,5.6,36140,24.25,3.92,8.79,2.14,0.65,0,6,0,0,8.66,9043184
5,6947,1737,4.7,5508,2.14,18.42,0.59,1.22,1.31,1,2,0,0,7.59,1272588
7,5837,2550,4.8,3521,2.25,17.6,0.28,1.54,3.61,0,5,0,0,7.85,1023327
10,54425,6552,5.1,47517,26.52,5.37,6.19,6.55,0.51,0,6,0,1,8.46,10388629
4,2668,2224,2.6,179,1.21,19.92,2.05,1.15,1.7,0,4,0,0,7.91,1458039
3,6691,1297,2.3,6171,1.87,15.55,1.55,1.54,1.71,0,3,0,0,7.8,250000
5,6032,2913,2.4,3605,1.81,18.23,1.59,0.76,2.91,1,5,0,0,7.89,1303592
8,11859,3799,4.7,8693,19.44,9.78,10.78,3.73,0.15,0,6,0,1,7.75,4956138
10,49699,5996,5,43997,15.12,1.6,4.26,2.51,1.57,1,6,0,0,8.01,9533485
7,4775,2807,4.6,2509,3.45,20.53,0.25,1.31,1.19,1,4,0,0,7.94,1562574
2,6064,922,1.7,5399,0.11,21.12,1.98,1.2,1.68,0,3,0,0,7.62,250000
4,5573,1777,2.8,4588,1.36,18.91,0.25,0.58,2.51,0,5,1,0,7.6,250000
2,4932,1184,2.7,4214,3.3,14.86,1.68,0.29,2.68,0,2,1,0,7.2,250000
5,5705,1681,3.2,3923,1.13,16.84,1.87,1.38,1.23,0,3,0,0,7.53,1083298
7,6529,2825,3.3,4220,1.7,15.2,0.56,0.12,0.28,0,3,0,0,7.67,2845415
7,6468,3153,3.8,3316,1.65,23,1.71,0.15,1.79,0,3,0,0,7.54,2979778
9,49125,3968,4.5,45810,15.2,8.15,5.57,2.32,0.8,0,4,0,0,7.99,6458762
5,18673,2035,3.3,17017,12.85,6.16,11.15,3.48,1.39,0,4,0,0,7.35,2565679
4,5600,1588,2.8,4262,1.19,13.53,2.07,0.89,1.63,1,3,0,0,7.63,827744
2,7460,1390,1.4,6140,2.33,16.12,1.26,0.48,4.16,0,3,0,0,7.47,250000
2,4731,1077,1.8,2628,2.02,23.1,2.22,0.58,0.65,1,4,0,0,7.6,250000
6,2739,2625,3.4,511,0.59,20.25,1.07,0.82,1.69,0,5,0,1,7.69,2232388
4,3178,1409,3.1,1143,0.57,13.57,2.35,0.3,0.45,0,2,0,1,7.56,722084
2,6372,1256,1.9,4691,2.17,15.95,1.11,0.15,0.66,0,2,1,0,7.89,284885
5,3149,2156,2.9,772,0.67,20.15,1.38,1.18,1.71,1,3,0,0,7.53,1531487
7,7581,2492,3.8,5348,1.8,22.01,0.78,1.18,2.71,1,4,1,0,7.74,1214190
7,5219,2901,3.7,3777,2.24,19.72,1.46,0.56,1.77,0,5,1,1,8.25,2752400
2,8354,1011,1.9,6276,1,19.67,0.25,1.95,1.78,0,2,0,0,7.59,250000
10,59642,6822,5.5,53075,19.83,7.02,5.1,3.98,1.64,1,6,0,0,8.19,11611838
9,35594,3538,4.4,33164,24.96,5.93,7.91,1.59,1.8,1,5,0,1,7.96,5430284
10,25116,6982,5.5,18590,18.95,0.44,7.63,1.72,0.33,0,6,0,0,8.42,9584068
10,53280,6305,5.7,47929,14.82,2.8,4.76,6.4,0.23,0,6,1,1,8.38,10449008
5,6893,2022,3.7,5101,3.64,25.76,0.99,0.9,2.65,0,3,0,0,7.89,302704
4,2624,1815,3.1,487,0.65,16.05,2.5,1.26,1.6,1,2,0,0,7.66,947537
2,8243,1989,1.5,6704,3.73,19.3,1.39,1.87,4.18,0,3,0,0,7.34,250000
6,43646,3386,4.7,40396,26.2,9.76,9.58,4.87,0.67,0,5,0,0,8.19,5397546
7,3990,2819,4.4,1741,1.24,23.85,1.27,1.01,0.19,0,3,0,0,7.48,2806627
4,5356,1618,3.1,3906,2.28,20.05,1.72,0.88,0.18,0,3,0,1,7.83,988693
10,18219,6862,5.5,12041,27.92,0.94,13.36,2.88,1.41,0,6,0,1,8.33,9374729
10,49446,6216,6,44076,17.75,3.38,9.17,1.13,1.9,0,6,1,0,8.3,10914199
3,4259,1521,2.2,2462,2.63,19.28,0.82,1.41,3.42,0,3,0,1,7.43,250000
4,5540,1910,3.1,3257,1.99,23.08,1.62,0.36,1.43,0,4,0,1,7.9,1190966
4,2902,2124,2.7,796,0.52,19.62,0.94,1.21,1.47,0,3,0,0,7.76,1357348
2,3493,1443,1.3,2789,2.28,18.03,1.74,0.68,1.17,0,4,0,0,7.98,250000
7,7954,2765,4.3,5587,15.1,5.12,8.3,6.05,0.56,0,4,0,0,7.87,3312007
4,5112,2617,3.2,3171,2.33,19.76,2.43,0.58,0.69,0,4,0,0,7.79,2213329
4,2216,2638,3.3,0,0.12,23.51,1.43,1.48,0.2,0,5,1,0,7.95,2262929
5,3930,2123,2.6,2343,1.17,21.06,1.41,0.94,2.47,0,3,0,0,7.85,368206
5,2012,2446,2.6,0,0.93,12.21,0.85,0.53,1.15,1,3,0,1,8.01,1965108
7,4160,2922,3.5,2012,2.25,14.86,0.74,0.79,1.63,0,5,0,1,8.06,2750520
2,5284,1493,3,3142,0.69,20.58,1.45,1.06,0.56,0,3,0,0,7.86,556170
6,6988,2775,3.8,4397,2.18,18.74,0.61,0.48,3.42,1,5,0,0,7.5,1413396
7,2494,3178,3.8,0,1.51,22.37,0.56,0.32,2.69,0,4,0,0,7.65,1744819
5,3507,1876,2.6,1825,1.4,16.47,2.04,0.16,0.83,1,3,0,0,7.61,1262051
5,2305,1895,4,0,0.91,13.47,0.95,1.34,0.61,0,3,0,0,7.63,1376456
10,29777,4901,5.7,25621,19.85,8.75,9.47,4.26,1.86,1,6,0,1,7.81,8116995
9,2938,3499,5.8,523,3.25,21.57,0.71,0.49,2.43,1,4,0,0,7.85,2463272
8,5713,3579,4.8,2755,1.16,19.89,0.35,0.49,2.34,1,6,0,0,7.97,2507265
7,8340,3362,4.3,6275,2.57,21.3,1.79,0.74,2.14,0,5,0,1,8,2159743
2,3209,1000,2,2535,0.97,16.56,2.07,1.01,0.84,0,1,0,0,7.77,250000
9,17617,4489,5.1,13623,21.63,9.99,6.01,4.57,0.76,0,6,0,0,8.26,6204365
5,6497,2012,2.7,4226,1.48,17.9,1.91,0.89,0.56,0,3,0,1,7.67,1550008
6,41015,3024,3.5,38264,25.53,5.03,8.98,7.83,1.9,1,4,1,0,7.9,4267907
6,1929,2635,3.8,0,0.45,22.43,1.72,0.42,0.37,0,5,0,1,7.93,2508740
3,5014,1686,2.6,3092,0.17,16.74,2.35,0.98,0.24,0,2,0,0,7.5,1078517
10,15467,5783,4.9,10120,22.62,6.9,8.82,5.6,0.25,1,6,1,1,8.67,8036450
5,4365,3007,3,2369,2.39,23.12,0.88,0.43,0.61,1,3,0,1,7.86,2919154
4,2558,1664,3.4,1518,2.92,24.31,1.67,1.1,2.91,0,3,1,0,7.95,250000
2,5932,1321,2.9,4766,2.04,19.34,0.73,0.76,1.26,0,3,0,1,7.62,369425
10,17634,4353,5.9,12635,15.85,7.65,9.64,6.96,1.8,0,6,1,0,7.89,5655222
5,2183,2046,3.5,0,1.29,19.06,1.1,0.96,1.59,0,4,0,0,8.04,1270465
10,48743,6343,6.1,42915,27.48,4.5,13.5,6.01,0.23,0,6,0,0,8.26,9599638
10,17148,4354,6.1,13263,15.26,1.38,9.11,1.37,1.22,1,6,1,0,8.45,6651088
7,6248,2984,4.7,3021,2.14,21.9,1.94,0.99,1.25,1,3,0,1,7.8,2998647
2,43127,1592,1.3,42265,25.23,2.99,8.46,3.05,0.61,0,3,0,1,7.8,2146281
6,6236,2098,3.7,4630,1.59,13.1,1.25,0.42,0.53,0,4,0,1,7.4,2021314
5,4979,2103,3.2,2876,0.12,21.96,1.85,1.03,0.22,0,4,0,0,7.63,1698737
10,8049,6735,5.2,1501,22.63,9.43,6,1.09,1.03,1,6,1,0,8.37,9309219
7,39575,3164,4,37608,14.62,0.59,5.67,4.06,0.57,0,5,0,0,7.81,4995837
4,56729,1841,3,54857,17.58,9.59,4.83,5.43,1.95,1,3,1,1,7.93,3200491
7,7825,2782,4.6,4696,2.6,16.84,1.39,1.05,2.03,1,5,0,0,7.62,1747622
7,51939,3050,3.8,48752,12.12,3.11,6.81,7.21,1.94,0,4,0,0,8.02,5119328
6,6027,2461,3.6,3997,2.23,17.39,2.27,1.31,0.85,1,4,0,0,7.63,2237843
4,7191,1742,3,4990,1.89,19.63,0.23,1.62,2.11,0,4,0,0,7.59,250000
5,11682,2190,3.4,10587,27.64,5.96,9.1,4.57,0.51,1,5,0,0,7.57,2336021
5,1962,2081,2.7,220,0.3,17.63,2.35,1.11,0.23,0,4,1,1,7.81,1715824
4,6385,1836,3.2,4344,2.71,16.84,0.43,0.87,3.59,1,3,0,0,7.41,250000
2,8731,1233,2.3,7510,3.05,25.55,0.68,1.75,4.27,1,2,0,0,7.31,250000
10,45232,6511,5.9,38992,23.69,8.32,11.46,5.34,0.91,0,6,0,0,8.27,9302222
4,5962,2014,3.2,3459,1.48,13.77,1.01,0.67,1.47,1,4,1,1,8.01,1535642
7,6959,3492,3.5,3825,2.79,21.64,1.56,1.41,3.57,0,4,1,0,7.76,2132023
10,39215,5303,5.9,33689,16.71,5.58,10.34,5.04,1.84,0,6,0,0,7.93,8896626
6,5761,2815,3,2959,2.44,19.7,1.32,0.53,0.48,1,4,0,0,7.76,2588554
3,4572,1125,1.9,2075,2,18.8,1.89,0.69,0.75,0,3,0,1,7.67,250000
5,5412,1778,3.3,4002,0.42,22.34,1.65,0.6,0.15,0,3,0,1,7.53,1380396
6,6360,2895,3.3,3227,3.28,23.25,1.26,0.59,2.41,0,4,0,0,7.85,1381763
10,15755,4729,5.9,12206,18.83,3.48,9.66,6.43,0.14,0,6,1,0,8.3,6174188
6,4006,2033,3.8,2030,2.16,18.28,1.1,0.45,0.79,0,3,0,0,7.58,1671246
4,6443,1604,3.3,5476,3.16,20.57,0.91,1.66,1.85,1,3,0,0,7.91,250000
8,2267,2808,5.4,0,0.24,14.03,2.05,0.1,0.58,0,5,0,0,7.98,2915217
3,3803,908,2,3448,1.57,12.36,1.41,1.23,1.03,0,1,0,1,7.74,250000
9,19862,3888,5.5,15881,22.55,4.51,10.97,5.36,0.32,0,6,0,0,8.08,5269678
3,6045,1587,2,4044,3.75,16.29,1.47,1.94,3.54,1,3,0,0,7.7,250000
4,4405,1705,3,3011,1.95,19.47,1.35,1.19,0.5,0,3,1,0,7.62,1119978
10,44015,5619,5.5,38149,13.05,7.68,11.75,5.64,0.65,0,6,0,0,7.67,9376220
7,6472,3397,4.2,3397,1.54,17.55,1.76,0.87,1.08,0,4,0,0,7.87,2366612
3,8296,1382,2.3,7124,1.69,15.29,0.42,1.12,2.12,0,2,0,0,7.53,250000
2,3818,1235,1.9,2363,0.65,19.42,0.45,0.75,1.14,0,3,0,0,7.58,250000
5,43281,2214,2.3,41880,21.46,8.94,11,1.87,1.75,1,4,1,0,7.85,2998514
6,6312,2247,4.2,5262,3.8,16.89,0.64,1.86,1.27,0,4,1,0,7.71,1039789
6,6754,3447,4.5,3461,3.22,20.49,1.69,1.06,2.96,0,5,0,1,7.77,2174948
5,4881,2217,3.5,3646,3.72,25.17,1.63,0.45,3.98,0,4,1,0,7.9,398611
5,8027,2420,2.6,6084,2.23,15.29,0.83,1.52,4.22,1,3,0,0,7.41,755629
5,6294,2720,3.3,4576,3.7,23.41,1.45,1.87,4.46,0,4,0,0,7.6,909326
5,2349,2584,3.7,0,0.87,15.18,1.74,0.88,0.72,0,4,0,1,7.75,2307117
7,47936,3233,3.8,44283,22.53,1.42,9.07,0.93,0.84,0,3,0,1,8.13,4970777
5,4001,2197,3.4,3100,2.38,13.31,0.37,0.95,1.71,0,3,0,1,7.67,1764483
5,6549,2185,2.4,4206,2.37,14.2,0.48,1.08,3.88,1,3,1,0,7.54,564255
6,22330,2737,4.1,20086,21.09,8.38,5.93,5.91,0.22,1,4,1,0,8.62,3555386
2,6073,1049,2,4414,3.13,22.55,0.38,1.23,2.99,0,3,0,0,7.52,250000
10,14466,6176,5.4,8422,23.24,7.79,6.82,2.87,1.82,1,6,1,1,8.24,8766264
4,5828,1860,2.5,4209,2.43,20.83,0.33,1.33,0.27,0,4,0,0,7.48,1247760
4,8323,1798,2.2,6498,1.56,24.06,1.39,1.88,1.58,0,5,0,0,7.47,275862
4,5268,1867,2.7,3428,1.91,18.93,0.24,1.4,3.96,1,2,0,0,7.33,250000
4,5569,2308,3,3234,0.39,13.96,1.71,1.24,0.69,1,5,0,1,7.57,2013272
10,44736,6071,5.5,38881,12.21,3.67,11.43,1.36,1.18,0,6,1,0,8.43,9606893
5,4866,2882,3.1,1755,3.73,14.3,0.92,1.3,2.11,0,5,1,0,7.87,1414545
4,3037,2226,3.7,1206,2.88,24.18,0.57,1.67,1.82,0,3,0,0,7.43,615985
5,1852,1985,3.5,0,1.13,14.81,0.42,0.7,1.44,0,2,0,1,7.52,1503371
4,6982,2169,2.6,4912,1.78,16.88,1.5,1.42,0.38,0,3,0,0,7.93,1580680
3,3815,1682,2.6,1321,2.47,19.03,0.67,1.65,2.69,0,3,0,0,7.84,250000
5,39786,2231,3,38160,22.88,1.23,12.72,4.52,0.83,0,3,0,1,7.47,3321086
